Ano,fi,fr,fr_%,Fi,Fr_%
1957,3,0.0006479481641468683,0.06,3,0.06
1958,28,0.006047516198704104,0.6,31,0.67
1959,20,0.004319654427645789,0.43,51,1.1
1960,39,0.008423326133909287,0.84,90,1.94
1961,52,0.01123110151187905,1.12,142,3.07
1962,82,0.017710583153347732,1.77,224,4.84
1963,41,0.008855291576673866,0.89,265,5.72
1964,60,0.012958963282937365,1.3,325,7.02
1965,87,0.01879049676025918,1.88,412,8.9
1966,101,0.02181425485961123,2.18,513,11.08
1967,106,0.022894168466522678,2.29,619,13.37
1968,103,0.02224622030237581,2.22,722,15.59
1969,103,0.02224622030237581,2.22,825,17.82
1970,107,0.02311015118790497,2.31,932,20.13
1971,119,0.02570194384449244,2.57,1051,22.7
1972,99,0.021382289416846653,2.14,1150,24.84
1973,103,0.02224622030237581,2.22,1253,27.06
1974,98,0.021166306695464362,2.12,1351,29.18
1975,113,0.024406047516198705,2.44,1464,31.62
1976,113,0.024406047516198705,2.44,1577,34.06
1977,114,0.024622030237580993,2.46,1691,36.52
1978,97,0.020950323974082072,2.1,1788,38.62
1979,49,0.010583153347732181,1.06,1837,39.68
1980,55,0.011879049676025918,1.19,1892,40.86
1981,71,0.015334773218142549,1.53,1963,42.4
1982,67,0.014470842332613391,1.45,2030,43.84
1983,66,0.014254859611231102,1.43,2096,45.27
1984,69,0.014902807775377969,1.49,2165,46.76
1985,74,0.015982721382289417,1.6,2239,48.36
1986,62,0.013390928725701945,1.34,2301,49.7
1987,56,0.012095032397408207,1.21,2357,50.91
1988,59,0.012742980561555076,1.27,2416,52.18
1989,52,0.01123110151187905,1.12,2468,53.3
1990,80,0.017278617710583154,1.73,2548,55.03
1991,59,0.012742980561555076,1.27,2607,56.31
1992,62,0.013390928725701945,1.34,2669,57.65
1993,61,0.013174946004319654,1.32,2730,58.96
1994,64,0.013822894168466522,1.38,2794,60.35
1995,61,0.013174946004319654,1.32,2855,61.66
1996,60,0.012958963282937365,1.3,2915,62.96
1997,70,0.01511879049676026,1.51,2985,64.47
1998,68,0.01468682505399568,1.47,3053,65.94
1999,57,0.012311015118790496,1.23,3110,67.17
2000,57,0.012311015118790496,1.23,3167,68.4
2001,43,0.009287257019438444,0.93,3210,69.33
2002,49,0.010583153347732181,1.06,3259,70.39
2003,52,0.01123110151187905,1.12,3311,71.51
2004,40,0.008639308855291577,0.86,3351,72.38
2005,37,0.007991360691144709,0.8,3388,73.17
2006,49,0.010583153347732181,1.06,3437,74.23
2007,50,0.01079913606911447,1.08,3487,75.31
2008,48,0.010367170626349892,1.04,3535,76.35
2009,50,0.01079913606911447,1.08,3585,77.43
2010,37,0.007991360691144709,0.8,3622,78.23
2011,42,0.009071274298056155,0.91,3664,79.14
2012,38,0.008207343412526998,0.82,3702,79.96
2013,46,0.009935205183585313,0.99,3748,80.95
2014,53,0.011447084233261339,1.14,3801,82.1
2015,52,0.01123110151187905,1.12,3853,83.22
2016,90,0.019438444924406047,1.94,3943,85.16
2017,92,0.019870410367170625,1.99,4035,87.15
2018,117,0.02526997840172786,2.53,4152,89.68
2019,109,0.023542116630669546,2.35,4261,92.03
2020,119,0.02570194384449244,2.57,4380,94.6
2021,157,0.03390928725701944,3.39,4537,97.99
2022,93,0.020086393088552916,2.01,4630,100.0
